frame,mother,father,patient
1,2.90095e-05,0.00220127,0.00518795
2,9.42808e-05,0.00182972,0.00844142
3,8.70284e-05,0.000715062,0.00993625
4,0.000108786,0.000154229,0.0120026
5,8.70284e-05,7.71145e-05,0.0124423
6,0.000101533,6.30937e-05,0.0113871
7,8.70284e-05,7.01041e-05,0.00976039
8,0.000116038,0.000420625,0.0107276
9,4.35142e-05,6.30937e-05,0.0075621
10,0.000108786,3.50521e-05,0.00839745
11,0.000101533,6.30937e-05,0.00998022
12,0.00012329,4.20625e-05,0.0102
13,1.45047e-05,1.40208e-05,0.00883711
14,0.000101533,4.20625e-05,0.011519
15,6.52713e-05,8.41249e-05,0.0110794
16,0.000145047,0.000182271,0.00738624
17,6.52713e-05,0.000217323,0.00514399
18,0.00012329,0.000287427,0.00272587
19,7.9776e-05,3.50521e-05,0.00430864
20,0.000130543,4.20625e-05,0.00778193
21,5.07666e-05,2.80416e-05,0.00672675
22,7.9776e-05,0.000238354,0.00712244
23,7.9776e-05,0.000273406,0.00808969
24,0.000108786,0.000231344,0.00413278
25,2.90095e-05,0.000203302,0.0015388
26,0.00012329,0.00017526,0.00197846
27,5.80189e-05,0.000189281,0.00360519
28,0.00012329,0.000112167,0.00479226
29,5.07666e-05,7.71145e-05,0.00874918
30,7.9776e-05,0.000147219,0.00677072
31,9.42808e-05,0.000112167,0.00721038
32,7.9776e-05,3.50521e-05,0.00839745
33,7.25237e-05,0.000231344,0.00338536
34,8.70284e-05,0.000694031,0.00123104
35,3.62618e-05,0.000546812,0.00417674
36,0.000116038,0.000105156,0.00501209
37,1.45047e-05,8.41249e-05,0.00553968
38,7.9776e-05,0.00051877,0.00677072
39,6.52713e-05,0.000147219,0.0060233
40,0.000108786,4.90729e-05,0.00619916
41,3.62618e-05,9.81457e-05,0.00624313
42,8.70284e-05,0.000238354,0.00404485
43,6.52713e-05,7.01041e-05,0.00575951
44,6.52713e-05,1.40208e-05,0.0075621
45,7.25237e-06,8.41249e-05,0.0074302
46,0.000116038,9.81457e-05,0.00650692
47,8.70284e-05,0.000196291,0.00699055
48,8.70284e-05,5.60833e-05,0.00619916
49,2.17571e-05,9.81457e-05,0.00373709
50,0.000130543,5.60833e-05,0.00276984
51,5.80189e-05,7.01041e-06,0.00241811
52,0.000108786,7.71145e-05,0.00386898
53,5.80189e-05,6.30937e-05,0.00531985
54,7.25237e-05,3.50521e-05,0.00694658
55,7.25237e-05,5.60833e-05,0.00738624
56,0.000166804,0.000252375,0.00668279
57,3.62618e-05,5.60833e-05,0.00426467
58,7.9776e-05,7.01041e-06,0.00224225
59,7.9776e-05,4.90729e-05,0.00219829
60,7.9776e-05,0.000140208,0.0030776
61,2.90095e-05,0.00124084,0.00430864
62,8.70284e-05,0.0030986,0.00958452
63,8.70284e-05,0.00345613,0.00712244
64,8.70284e-05,0.00389779,0.00668279
65,6.52713e-05,0.00427635,0.0078259
66,0.000130543,0.00370851,0.00364915
67,5.07666e-05,0.00347716,0.00228622
68,0.000101533,0.00473203,0.00290174
69,5.80189e-05,0.00311262,0.0046164
70,8.70284e-05,0.00301448,0.0062871
71,8.70284e-05,0.00286726,0.00800176
72,7.9776e-05,0.00286025,0.00593537
73,2.90095e-05,0.00263591,0.00466036
74,0.000116038,0.0042413,0.00527588
75,8.70284e-05,0.00513162,0.00171466
76,6.52713e-05,0.00520873,0.00228622
77,3.62618e-05,0.00661783,0.00518795
78,5.80189e-05,0.00973045,0.00571554
79,3.62618e-05,0.00945704,0.00655089
80,5.07666e-05,0.00956921,0.00633106
81,5.80189e-05,0.00937292,0.0061552
82,0.000108786,0.00858074,0.00259398
83,9.42808e-05,0.00803393,0.0015388
84,0.000101533,0.00591679,0.00193449
85,2.17571e-05,0.00438852,0.00426467
86,7.25237e-05,0.00429037,0.00765003
87,9.42808e-05,0.00338603,0.00496812
