,Interval,Time_min,video,SSI_fa_ch,SSI_fa_mo,SSI_fa_mo_ch,SSI_mo_ch
0,1,0.0,RAKA008,0.00378133676351,0.00695906905473,0.0673854177258,0.146101251137
1,2,0.166666666667,RAKA008,0.0206894069212,0.546115235386,0.253597313491,0.0508211103891
2,3,0.333333333333,RAKA008,0.00595254141469,0.0292255295369,0.039921263901,0.0548543269972
3,4,0.5,RAKA008,0.0254355186881,0.0215951040316,0.0224775152942,0.00859315138648
4,5,0.666666666667,RAKA008,0.0109935395816,0.00446189745298,0.0184890566223,0.0268932699768
5,6,0.833333333333,RAKA008,2.59437733007e-05,0.0193847020677,0.0649720029552,0.13406555178
6,7,1.0,RAKA008,0.00736993172261,0.0107657738985,0.0418509534019,0.07753394563
7,8,1.16666666667,RAKA008,0.00713645948641,0.148343852548,0.171555273332,0.252917329803
8,9,1.33333333333,RAKA008,0.0836512478101,0.0401029824855,0.0735450794605,0.0645316556084
9,10,1.5,RAKA008,0.0296434309316,0.10096602914,0.0590884626387,0.00379193082457
10,11,1.66666666667,RAKA008,0.105808664624,0.142457215325,0.115305247107,0.0488753044489
11,12,1.83333333333,RAKA008,0.0725053711014,0.00749084117164,0.0350099296352,0.00478151320082
12,13,2.0,RAKA008,0.0367930636728,0.0904850215656,0.0543301377977,0.00517440856482
13,14,2.16666666667,RAKA008,0.102421880583,0.0832493102986,0.0865986125507,0.0355307053072
14,15,2.33333333333,RAKA008,0.109224188166,0.00466137278624,0.0537069077952,0.0162785434362
15,16,2.5,RAKA008,0.00399615814914,0.019587335588,0.0109365402133,0.00189890676869
16,17,2.66666666667,RAKA008,0.274327030828,0.178837375168,0.25626423434,0.240426811607
17,18,2.83333333333,RAKA008,0.00341028687654,0.00400473503715,0.0625532373397,0.142557267427
18,19,3.0,RAKA008,0.0245360932697,0.110009157301,0.0823792363551,0.042654245993
19,20,3.16666666667,RAKA008,0.0589663090185,0.328930964119,0.180741253377,0.0710408826598
20,21,3.33333333333,RAKA008,0.0245712686613,0.0769514612659,0.0427977291079,0.000634597542862
21,22,3.5,RAKA008,0.363902213132,0.13918408818,0.214795654264,0.0263467370396
22,23,3.66666666667,RAKA008,0.0852177907555,0.247336628711,0.165233957623,0.0972543811196
23,24,3.83333333333,RAKA008,0.160816861035,0.318032480366,0.227865222181,0.125102986593
24,25,4.0,RAKA008,0.00246958097956,0.000168965894059,0.00839724126562,0.0174052608702
25,26,4.16666666667,RAKA008,0.0263969943756,0.238293180301,0.113136377375,4.60000086636e-05
26,27,4.33333333333,RAKA008,0.018811692885,0.0496281107434,0.0358572918233,0.0211545404911
27,28,4.5,RAKA008,0.0799806846498,0.234999039273,0.134334580963,0.0156541050143
28,29,4.66666666667,RAKA008,0.22630559293,0.109426023848,0.154800732068,0.0648639252161
29,30,4.83333333333,RAKA008,0.0321453503742,0.294674953845,0.155279969755,0.0610175747328
30,31,5.0,RAKA008,0.0313556099235,0.227040406874,0.109411438576,0.00612149798042
31,32,5.16666666667,RAKA008,0.0573336385753,0.149578909252,0.0917803364973,0.023212633373
32,33,5.33333333333,RAKA008,0.0409916228873,0.155035354992,0.0983124096819,0.0538412445261
33,34,5.5,RAKA008,0.0400423647544,0.102800350635,0.0609307678602,0.00579259408586
34,35,5.66666666667,RAKA008,0.00472605876352,8.18178034431e-05,0.00673819015053,0.0112647745956
35,36,5.83333333333,RAKA008,0.0418802727286,0.0292702535373,0.0301429364465,0.00157183422381
36,37,6.0,RAKA008,0.0506653072619,0.286545034685,0.212207512294,0.203092213925
37,38,6.16666666667,RAKA008,0.0357043804318,0.0395957186357,0.0582826696702,0.0727813977213
38,39,6.33333333333,RAKA008,0.0019968095153,0.0525381309951,0.0255305749242,0.0069736961253
39,40,6.5,RAKA008,0.0064374969833,0.00923015797344,0.0147871212785,0.0206381932444
40,41,6.66666666667,RAKA008,0.0569051487012,0.0787636539018,0.0675895371667,0.0122625050259
41,42,6.83333333333,RAKA008,0.00393214643642,0.261180018495,0.111947017285,0.0022691617911
42,43,7.0,RAKA008,0.0015474345986,0.0473310341121,0.0620485643924,0.099610280258
43,44,7.16666666667,RAKA008,6.81911611666e-06,0.346025940583,0.15023477285,0.00905798621069
44,45,7.33333333333,RAKA008,0.0129969390014,0.139244079655,0.0911516353705,0.0730926846895
45,46,7.5,RAKA008,0.0389574057467,0.0156625627646,0.0246642708008,0.00588078338616
