"","video","frame_index","slidedFather","slidedMother","slidedTherapist","slidedPatient"
"1","F1044G.VOB",1,NA,8.94608e-05,0.002918463,NA
"2","F1044G.VOB",2,NA,0.0001394536,0.005576174,NA
"3","F1044G.VOB",3,NA,0.0001394536,0.00798316,NA
"4","F1044G.VOB",4,NA,0.0001683968,0.009136504,NA
"5","F1044G.VOB",5,NA,0.0001605032,0.009046242,NA
"6","F1044G.VOB",6,NA,0.0001236664,0.008263974,NA
"7","F1044G.VOB",7,NA,7.8936e-05,0.006218038,NA
"8","F1044G.VOB",8,NA,0.000118404,0.0036706452,NA
"9","F1044G.VOB",9,NA,0.0001157728,0.0021361954,NA
"10","F1044G.VOB",10,NA,7.36736e-05,0.0017450614,NA
"11","F1044G.VOB",11,NA,7.63048e-05,0.001183433,NA
"12","F1044G.VOB",12,NA,7.10424e-05,0.000842443,NA
"13","F1044G.VOB",13,NA,3.15744e-05,0.0016748578,NA
"14","F1044G.VOB",14,NA,2.6312e-06,0.0022164276,NA
"15","F1044G.VOB",15,NA,2.6312e-06,0.0025072716,NA
"16","F1044G.VOB",16,NA,0,0.002687796,NA
"17","F1044G.VOB",17,NA,0,0.002406982,NA
"18","F1044G.VOB",18,NA,2.6312e-06,0.0015244218,NA
"19","F1044G.VOB",19,NA,2.6312e-06,0.00111323,NA
"20","F1044G.VOB",20,NA,2.6312e-06,0.00072209508,NA
"21","F1044G.VOB",21,NA,2.6312e-06,0.00037107616,NA
"22","F1044G.VOB",22,NA,2.6312e-06,0.00027078524,NA
"23","F1044G.VOB",23,NA,0,0.00018052344,NA
"24","F1044G.VOB",24,NA,0,3.008724e-05,NA
"25","F1044G.VOB",25,NA,0,0.00011031996,NA
"26","F1044G.VOB",26,NA,0,0.00010029088,NA
"27","F1044G.VOB",27,NA,0,9.02618e-05,NA
"28","F1044G.VOB",28,NA,0,0.00011032,NA
"29","F1044G.VOB",29,NA,0,0.00011032,NA
"30","F1044G.VOB",30,NA,0,2.00582e-05,NA
"31","F1044G.VOB",31,NA,0,2.00582e-05,NA
"32","F1044G.VOB",32,NA,0,2.00582e-05,NA
"33","F1044G.VOB",33,NA,5.2624e-06,0,NA
"34","F1044G.VOB",34,NA,5.2624e-06,0,NA
"35","F1044G.VOB",35,NA,5.2624e-06,0,NA
"36","F1044G.VOB",36,NA,5.2624e-06,0,NA
"37","F1044G.VOB",37,NA,1.3156e-05,0,NA
"38","F1044G.VOB",38,NA,7.8936e-06,0,NA
"39","F1044G.VOB",39,NA,7.8936e-06,0,NA
"40","F1044G.VOB",40,NA,1.05248e-05,0,NA
"41","F1044G.VOB",41,NA,1.05248e-05,0,NA
"42","F1044G.VOB",42,NA,2.6312e-06,0,NA
"43","F1044G.VOB",43,NA,5.2624e-06,0,NA
"44","F1044G.VOB",44,NA,7.8936e-06,0,NA
"45","F1044G.VOB",45,NA,7.8936e-06,1.002908e-05,NA
"46","F1044G.VOB",46,NA,7.8936e-06,0.00015043628,NA
"47","F1044G.VOB",47,NA,1.05248e-05,0.00018052348,NA
"48","F1044G.VOB",48,NA,7.8936e-06,0.00018052348,NA
"49","F1044G.VOB",49,NA,7.8936e-06,0.00027078528,NA
"50","F1044G.VOB",50,NA,5.2624e-06,0.0004412798,NA
"51","F1044G.VOB",51,NA,5.2624e-06,0.0007020366,NA
"52","F1044G.VOB",52,NA,2.6312e-06,0.0010430254,NA
"53","F1044G.VOB",53,NA,2.6312e-06,0.001123258,NA
"54","F1044G.VOB",54,NA,0,0.0010630834,NA
"55","F1044G.VOB",55,NA,0,0.000912647,NA
"56","F1044G.VOB",56,NA,0,0.000511483,NA
"57","F1044G.VOB",57,NA,5.2624e-06,0.0001805234,NA
"58","F1044G.VOB",58,NA,5.2624e-06,0.0002607562,NA
"59","F1044G.VOB",59,NA,5.2624e-06,0.001053053,NA
"60","F1044G.VOB",60,NA,7.8936e-06,0.0018052338,NA
"61","F1044G.VOB",61,NA,7.8936e-06,0.0019155538,NA
"62","F1044G.VOB",62,NA,2.6312e-06,0.0018954956,NA
"63","F1044G.VOB",63,NA,2.6312e-06,0.0017651174,NA
"64","F1044G.VOB",64,NA,2.6312e-06,0.001002908,NA
"65","F1044G.VOB",65,NA,2.6312e-06,0.00023066908,NA
"66","F1044G.VOB",66,NA,5.2624e-06,0.00012034908,NA
"67","F1044G.VOB",67,NA,5.2624e-06,0.00010029088,NA
"68","F1044G.VOB",68,NA,5.2624e-06,7.020368e-05,NA
