"","video","frame_index","slidedFather","slidedMother","slidedTherapist","slidedPatient"
"1","F1044I.VOB",1,NA,NA,0.002031646,0.0013415942
"2","F1044I.VOB",2,NA,NA,0.00235933,0.0010056
"3","F1044I.VOB",3,NA,NA,0.0020503702,0.0007935188
"4","F1044I.VOB",4,NA,NA,0.0019661082,0.000953176
"5","F1044I.VOB",5,NA,NA,0.0019005702,0.0008650072
"6","F1044I.VOB",6,NA,NA,0.0018069442,0.0006147986
"7","F1044I.VOB",7,NA,NA,0.0013481862,0.0006195644
"8","F1044I.VOB",8,NA,NA,0.001657146,0.00045752454
"9","F1044I.VOB",9,NA,NA,0.001413724,0.0001501251
"10","F1044I.VOB",10,NA,NA,0.001544798,0.00011438106
"11","F1044I.VOB",11,NA,NA,0.001657148,0.00011199806
"12","F1044I.VOB",12,NA,NA,0.001984832,7.863686e-05
"13","F1044I.VOB",13,NA,NA,0.001760134,9.293448e-05
"14","F1044I.VOB",14,NA,NA,0.001872484,9.293448e-05
"15","F1044I.VOB",15,NA,NA,0.0015916116,7.625392e-05
"16","F1044I.VOB",16,NA,NA,0.0016103356,8.340272e-05
"17","F1044I.VOB",17,NA,NA,0.0013201016,7.863688e-05
"18","F1044I.VOB",18,NA,NA,0.0013575516,6.910514e-05
"19","F1044I.VOB",19,NA,NA,0.0013013756,5.480752e-05
"20","F1044I.VOB",20,NA,NA,0.001460536,5.95734e-05
"21","F1044I.VOB",21,NA,NA,0.00135755,3.574408e-05
"22","F1044I.VOB",22,NA,NA,0.001572886,2.144646e-05
"23","F1044I.VOB",23,NA,NA,0.00174141,1.668058e-05
"24","F1044I.VOB",24,NA,NA,0.001760136,2.144646e-05
"25","F1044I.VOB",25,NA,NA,0.0016197004,4.289298e-05
"26","F1044I.VOB",26,NA,NA,0.0016477884,4.765886e-05
"27","F1044I.VOB",27,NA,NA,0.0013575528,4.765886e-05
"28","F1044I.VOB",28,NA,NA,0.0014137268,5.00418e-05
"29","F1044I.VOB",29,NA,NA,0.0014418128,4.527592e-05
"30","F1044I.VOB",30,NA,NA,0.0014979864,2.144646e-05
"31","F1044I.VOB",31,NA,NA,0.0016384224,2.38294e-05
"32","F1044I.VOB",32,NA,NA,0.001760134,8.816866e-05
